Year,all,factors_associated_with,predictors_of,risk_factors_for
1781,69,,,
1782,22,,,
1783,26,,,
1784,31,,,
1785,43,,,
1786,60,,,
1787,43,,,
1788,33,,,
1789,32,,,
1790,45,,,
1791,19,,,
1792,33,,,
1793,17,,,
1794,18,,,
1795,13,,,
1796,20,,,
1797,69,,,
1798,19,,,
1799,300,,,
1800,387,,,
1801,368,,,
1802,291,,,
1803,269,,,
1804,304,,,
1805,314,,,
1806,282,,,
1807,295,,,
1808,289,,,
1809,265,,,
1810,267,,,
1811,322,,,
1812,239,,,
1813,265,,,
1814,285,,,
1815,222,,,
1816,315,,,
1817,288,,,
1818,303,,,
1819,225,,,
1820,213,,,
1821,270,,,
1822,247,,,
1823,291,,,
1824,269,,,
1825,262,,,
1826,385,,,
1827,327,,,
1828,409,,,
1829,568,,,
1830,510,,,
1831,579,,,
1832,285,,,
1833,221,,,
1834,209,,,
1835,222,,,
1836,220,,,
1837,281,,,
1838,265,,,
1839,289,,,
1840,395,,,
1841,829,,,
1842,972,,,
1843,813,,,
1844,660,,,
1845,778,,,
1846,892,,,
1847,947,,,
1848,946,,,
1849,880,,,
1850,876,,,
1851,901,,,
1852,990,,,
1853,1214,,,
1854,1081,,,
1855,1350,,,
1856,1571,,,
1857,1505,,,
1858,1561,,,
1859,1548,,,
1860,1663,,,
1861,1271,,,
1862,1194,,,
1863,1052,,,
1864,1211,,,
1865,1232,,,
1866,1644,,,
1867,1932,,,
1868,1987,,,
1869,2102,,,
1870,1946,,,
1871,2425,,,
1872,2461,,,
1873,2539,,,
1874,2696,,,
1875,2540,,,
1876,2226,,,
1877,2394,,,
1878,2649,,,
1879,2555,,,
1880,2821,,,
1881,3450,,,
1882,3034,,,
1883,3443,,,
1884,3321,,,
1885,3628,,,
1886,3586,,,
1887,4305,,,
1888,4319,,,
1889,4380,,,
1890,4133,,,
1891,3690,,,
1892,4223,,,
1893,4476,,,
1894,3915,,,
1895,4306,,,
1896,4729,,,
1897,4918,,,
1898,4840,,,
1899,4355,,,
1900,3974,,,
1901,4007,,,
1902,4064,,,
1903,4054,,,
1904,4174,,,
1905,4185,,,
1906,4016,,,
1907,4505,,,
1908,4704,,,
1909,4951,,,
1910,5120,,,
1911,5328,,,
1912,5236,,,
1913,5533,,,
1914,5534,,,
1915,4945,,,
1916,4793,,,
1917,4498,,,
1918,4794,,,
1919,4871,,,
1920,5130,,,
1921,4776,,,
1922,4264,,,
1923,4579,,,
1924,4992,,,
1925,5093,,,
1926,5427,,,
1927,5980,,,
1928,5579,,,
1929,5831,,,
1930,5733,,,
1931,5608,,,
1932,5671,,,
1933,5724,,,
1934,5607,,,
1935,5769,,,
1936,5496,,,
1937,5428,1,,
1938,5874,,,
1939,5660,,,
1940,5073,,,
1941,4918,,,
1942,4843,,,
1943,4562,1,,
1944,4791,,,
1945,20513,1,,
1946,53930,,,
1947,65036,2,1,
1948,70763,4,,
1949,62834,2,,
1950,85778,3,,
1951,103835,2,2,
1952,108171,6,1,
1953,108935,3,1,
1954,105942,2,1,
1955,108562,2,1,
1956,107016,5,1,
1957,111529,4,1,
1958,109469,2,,
1959,110000,7,3,
1960,112222,8,,
1961,120180,3,4,
1962,125693,11,2,
1963,141539,8,3,
1964,162110,16,7,
1965,176737,10,7,
1966,180185,7,4,
1967,192074,9,8,
1968,208156,16,6,1
1969,215361,13,8,4
1970,219426,14,10,1
1971,223658,17,17,
1972,227949,22,21,3
1973,231159,20,18,4
1974,235136,33,21,5
1975,249242,20,22,8
1976,255031,17,38,15
1977,262233,15,28,13
1978,272609,19,46,21
1979,282180,29,48,25
1980,280695,34,46,33
1981,283691,38,58,42
1982,295827,46,61,58
1983,309590,57,82,54
1984,318315,68,74,90
1985,335441,82,102,113
1986,349818,56,132,115
1987,368057,83,166,158
1988,387105,102,177,194
1989,402904,94,188,238
1990,410969,101,238,265
1991,413288,140,249,273
1992,418105,150,277,330
1993,427701,161,301,389
1994,438969,163,366,466
1995,449315,171,369,409
1996,458808,197,392,499
1997,456880,191,513,537
1998,474753,237,508,583
1999,493935,246,536,651
2000,532642,277,638,657
2001,547624,291,680,754
2002,565470,306,738,795
2003,594585,401,825,873
2004,639751,431,905,879
2005,700424,513,1077,1089
2006,750124,576,1257,1168
2007,786729,681,1413,1261
2008,837220,761,1666,1325
2009,877624,927,1748,1420
2010,942149,1091,2021,1519
2011,1020614,1234,2283,1646
2012,1090094,1398,2440,1981
2013,1150083,1649,2749,2029
2014,1205778,1838,2967,2342
2015,1257997,2000,3274,2428
2016,1285287,2249,3339,2460
2017,1304116,2401,3503,2457
2018,1351680,2628,3662,2665
2019,1417511,2920,3677,2698
2020,1639193,3652,4209,3256
2021,1783811,4418,4917,3778
2022,1774230,4539,4898,3741
